sample_idx,atom_idx,element,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
53,3,Ni,-3.0190125,-7.5036774,-19.839798,-15.331512,0.6132366,1.511031,0.046966683,0.4283519
54,2,Ni,-3.0190582,-7.507416,-19.841492,-15.33255,0.6131339,1.5085125,0.0425853,0.42720535
54,3,Ni,-3.0190582,-7.507416,-19.842392,-15.329147,0.6131339,1.5085125,0.04025645,0.4309653
54,1,Ni,-3.0187836,-7.5088043,-19.839905,-15.330048,0.6137504,1.507577,0.046690382,0.42997053
55,1,Ni,-3.02182,-7.4896393,-19.841812,-15.325745,0.60693455,1.5204886,0.041756388,0.43472525
56,3,Os,-3.8617249,-9.35434,-20.030792,-15.648651,-1.2783505,0.26422957,-0.4471037,0.0779178
56,1,Os,-3.8621826,-9.355347,-20.057587,-15.671936,-1.2793779,0.2635511,-0.51641643,0.052188277
57,3,Os,-3.8518677,-9.340027,-20.04776,-15.643982,-1.2562246,0.27387214,-0.4909965,0.08307719
57,2,Os,-3.8518372,-9.340057,-20.04123,-15.655884,-1.2561561,0.2738516,-0.4741025,0.0699258
57,4,Os,-3.851593,-9.339264,-20.016174,-15.635925,-1.2556081,0.27438614,-0.40928957,0.091979675
58,3,Os,-3.8536682,-9.344696,-20.032867,-15.6388855,-1.2602662,0.2707265,-0.45247188,0.08870869
58,2,Os,-3.8536682,-9.344696,-20.017578,-15.647736,-1.2602662,0.2707265,-0.41292098,0.07892945
58,1,Os,-3.8531494,-9.342957,-20.054565,-15.658752,-1.2591016,0.2718984,-0.508601,0.06675597
59,1,Os,-3.8824158,-9.369171,-20.037262,-15.679718,-1.3247942,0.25423747,-0.4638398,0.043589287
60,3,Pd,-3.1441956,-8.619308,-19.873566,-14.942795,0.33224547,0.75942415,-0.040384736,0.8578798
60,1,Pd,-3.1442566,-8.619568,-19.874207,-14.942001,0.33210847,0.7592494,-0.04204256,0.8587566
61,4,Pd,-3.1412964,-8.614685,-19.878128,-14.943985,0.33875304,0.76253897,-0.05218685,0.8565647
61,3,Pd,-3.1411896,-8.614731,-19.878784,-14.942291,0.3389928,0.76250815,-0.053884145,0.8584362
61,2,Pd,-3.1411896,-8.614731,-19.880722,-14.942688,0.3389928,0.76250815,-0.05889708,0.85799783
62,1,Pd,-3.1436005,-8.616318,-19.875671,-14.942276,0.33358124,0.761439,-0.045831867,0.8584531
62,2,Pd,-3.1447296,-8.617935,-19.872818,-14.941528,0.3310467,0.76034933,-0.038450614,0.8592793
62,3,Pd,-3.1447296,-8.617935,-19.875305,-14.9427185,0.3310467,0.76034933,-0.04488454,0.85796416
63,1,Pd,-3.1371765,-8.607315,-19.876862,-14.935776,0.34800068,0.76750416,-0.048910677,0.8656358
64,5,Ag,-2.2064972,-8.85154,-19.081451,-14.323105,2.437042,0.60296875,2.008683,1.5426291
65,3,Pd,-2.9013062,-8.62442,-19.499985,-14.821136,0.87744504,0.7559804,0.926007,0.9923107
65,1,Pd,-2.9063416,-8.620789,-19.506256,-14.828079,0.8661424,0.75842696,0.909784,0.98463905
66,3,Pd,-2.91362,-8.618118,-19.516968,-14.834091,0.8498049,0.760226,0.8820747,0.97799593
66,2,Pd,-2.91362,-8.618118,-19.520752,-14.833862,0.8498049,0.760226,0.87228566,0.97824883
66,4,Pd,-2.9152832,-8.617157,-19.52301,-14.835175,0.8460716,0.7608736,0.8664438,0.9767988
67,2,Pd,-2.9046326,-8.622025,-19.507034,-14.826416,0.8699784,0.75759435,0.90777093,0.9864769
67,3,Pd,-2.9046326,-8.622025,-19.509827,-14.826172,0.8699784,0.75759435,0.90054756,0.98674667
67,1,Pd,-2.9104004,-8.618317,-19.507889,-14.830811,0.85703176,0.7600923,0.9055605,0.98162097
68,1,Pd,-2.9094086,-8.614014,-19.512161,-14.825439,0.85925806,0.7629913,0.89450836,0.987556
69,3,Pt,-3.3189392,-8.40564,-20.062424,-15.278915,-0.05999137,0.903374,-0.52892905,0.48647094
69,1,Pt,-3.3190155,-8.405762,-20.069382,-15.274826,-0.060162626,0.90329176,-0.5469282,0.49098963
70,4,Pt,-3.3061523,-8.382614,-20.052094,-15.262909,-0.031289447,0.9188864,-0.50220656,0.5041579
70,2,Pt,-3.3061218,-8.382599,-20.058746,-15.259338,-0.031220945,0.91889673,-0.51941633,0.5081033
70,3,Pt,-3.3061218,-8.382599,-20.06189,-15.2621765,-0.031220945,0.91889673,-0.52754754,0.5049672
71,1,Pt,-3.3112488,-8.394348,-20.064316,-15.26651,-0.042729117,0.9109812,-0.53382355,0.50017875
71,2,Pt,-3.3109436,-8.393799,-20.057617,-15.271042,-0.042044107,0.91135126,-0.5164954,0.4951711
71,3,Pt,-3.3109436,-8.393814,-20.06247,-15.270737,-0.042044107,0.91134095,-0.5290475,0.4955083
72,1,Pt,-3.3423157,-8.456375,-20.072525,-15.306519,-0.112463154,0.86919326,-0.5550595,0.45596984
73,1,Pt,-3.3427734,-8.458282,-20.072662,-15.307404,-0.11349066,0.86790824,-0.55541474,0.4549919
74,1,Pt,-3.2883606,-8.145294,-19.489166,-14.547943,0.008646648,1.0787702,0.9539926,1.2941858
75,5,Ru,-3.3136902,-9.185181,-19.36792,-15.435242,-0.048209198,0.3781929,1.2676367,0.31373245
76,1,Pt,-3.5262756,-8.680908,-19.680695,-14.641174,-0.5253873,0.71792406,0.45854068,1.1911665
77,5,Zr,-3.5847168,-11.970886,-20.261444,-16.993408,-0.65656674,-1.4985524,-1.0437616,-1.4080212
78,1,Pt,-3.5267181,-8.872269,-20.306458,-15.468536,-0.52638054,0.58900344,-1.1602039,0.27694225
79,4,Au,-2.6530075,-8.466309,-19.475624,-14.442184,1.4347864,0.862501,0.9890239,1.4110477
