sample_idx,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
54,-2.50933837890625,-7.299031734466553,-17.89566993713379,-14.973841667175293,1.155980535172193,1.1469757978979964,-0.4154150383586659,-0.030015597707861077
55,-2.509613037109375,-7.2746734619140625,-17.891555786132812,-14.9697265625,1.1554410091201344,1.1608921950547566,-0.4124465539981015,-0.027175043110785536
56,-3.7704315185546875,-8.842819213867188,-17.765594482421875,-14.99658203125,-1.3212533328549618,0.2649773046683597,-0.32156166425694604,-0.04571270648358908
57,-3.7614948749542236,-8.81629467010498,-17.744619369506836,-14.97100830078125,-1.3036985976038218,0.2801313384612448,-0.30642748599402225,-0.028059795226305705
58,-3.7629191875457764,-8.82367992401123,-17.74812889099121,-14.97655200958252,-1.3064964523217022,0.27591198644268866,-0.30895971187415133,-0.03188647978547143
59,-3.788787841796875,-8.886688232421875,-17.7822265625,-15.026763916015625,-1.357311657334213,0.23991400497135776,-0.33356221299321004,-0.06654651225143306
60,-2.9838104248046875,-8.015716552734375,-17.542816162109375,-14.320732116699219,0.22394928024092658,0.7375185777382697,-0.16082036925744636,0.42080971109590015
61,-2.9805705547332764,-8.010685920715332,-17.5423641204834,-14.31908130645752,0.23031353329771875,0.7403926843883063,-0.160494207554408,0.42194922442325533
62,-2.983494997024536,-8.013829231262207,-17.54387855529785,-14.319743156433105,0.22456889219133766,0.7385968444795821,-0.1615869180700724,0.42149236581598526
63,-2.97607421875,-8.0003662109375,-17.536392211914062,-14.312179565429688,0.23914593070724438,0.7462885532148554,-0.15618529492903613,0.4267133249143413
64,-2.2023239135742188,-7.792579650878906,-16.515769958496094,-13.135482788085938,1.7590657535302747,0.8650014170840464,0.5802245248845964,1.2389578980149767
65,-2.7529067993164062,-8.02587890625,-16.996917724609375,-14.132606506347656,0.6775258348396527,0.7317126098780251,0.23306186155776598,0.550668149575045
66,-2.758845090866089,-8.019363403320312,-17.001455307006836,-14.136134147644043,0.6658609256568193,0.7354350547373711,0.22978785863992515,0.5482331063642495
67,-2.75408935546875,-8.021026611328125,-16.994558334350586,-14.13104248046875,0.6752028754488448,0.73448482876625,0.23476423297826582,0.5517477578112452
68,-2.7549896240234375,-8.018478393554688,-16.995071411132812,-14.129684448242188,0.6734344289448748,0.735940679566041,0.2343940325642687,0.5526851737431654
69,-3.09075927734375,-7.816856384277344,-17.213516235351562,-14.378860473632812,0.013863830303211621,0.8511316049734621,0.07677948604284149,0.38068514938073245
